shot,target_id,target_label,L0,Lm,Lnm,delta_m,delta_nm,tau,embedding_model,prefix_ratio,sample_count_limit,cache_path
7,6170d773a0990667a6e6b913336e55b8071889d498b82eaddf34743f06dcaab2,1,-41.9823133456,-40.1945298554,-43.5875477938,1.78778349016,-1.60523444821,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,7e2e304f1d800880df1e8720a81d23af74cd0bab0414de9c59e26562324bd3a7,0,-62.2358500707,-58.2245718043,-55.9513066774,4.01127826638,6.28454339328,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,692f9f9a19a859dd30ea4057cbe2c4539f2de1d2ba75009ae871612004aaade1,1,-42.7197972963,-42.1312342701,-48.068641898,0.588563026214,-5.3488446016,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,77a7520930c843fbeeeb123264db804b2c1678f86dd05c5516c154e06b4d7215,0,-40.6688893138,-38.7379684049,-48.6749741414,1.93092090888,-8.00608482762,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,fb91b4466511393839f1c52d297d100c94f079814b06f9514d162f27d8dd89b4,1,-33.616052731,-29.7168068252,-35.9738153334,3.8992459058,-2.35776260243,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,284f9fb872ebc7e3e48b07b208af2a1824a971fb87571a63fd091918cd22b60f,0,-56.6851973162,-55.5140994537,-52.7341451216,1.17109786249,3.95105219461,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,c21cbcf02c1b9165900c5324c587be06f62d8bf055549d4e38d1369a07804add,1,-43.4698234698,-37.6450225171,-44.5682440334,5.82480095267,-1.09842056365,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,8b6b96e7ebbdcd1295590dadffe92f38c1de60e7826d54f3e933e56ac9d26683,0,-48.2251741178,-45.26741955,-46.1584439521,2.95775456782,2.06673016573,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,03d6fe8434294afd29cf8ae1f241e1b01e79f933689621425504879e17508efa,1,-58.6385592199,-58.4581043057,-60.4178254524,0.180454914129,-1.77926623252,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,300ff3d30599a14251539483d7e660cd202e3d1bee0508d68c924ff6de4010ad,0,-73.5282288002,-70.3822273554,-69.977692158,3.14600144477,3.55053664225,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,ee59361624896c8f61eb140e05395e4d10acd8610ccc69fc67f0f5c1438edc3f,1,-60.0895910601,-56.881177553,-58.5204173404,3.20841350716,1.56917371975,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,94ebcd56ee549a4ad279cd3dba732eb9b08926b2d41f01582a59134969c91211,0,-53.5732230655,-55.6601827693,-48.8253207391,-2.08695970381,4.74790232635,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,f2f8fbee7c9bb7a789b6cdd51bbcadcf08cb7d7d2e02f6f08fdc237288f11979,1,-70.0094802022,-55.4866025507,-66.3111571718,14.5228776515,3.69832303044,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,bb38da467319026cbc460c193fceb016c8900aa2cdc67c89cf8198b8777f07a6,0,-53.4651111201,-52.4671779273,-49.6251345407,0.997933192749,3.8399765794,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,8750887dbac0c51f389dc38bab70a1fd0e4179d1c5bb9637f093b4e4c4ec41f8,1,-29.327854137,-27.8464215306,-29.9770457741,1.4814326064,-0.64919163714,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,45522b7d33662b86fce9133ba291faeb747090b412532751bdbe509ea92f6aac,0,-60.9483568068,-57.8085826066,-57.1067966581,3.13977420018,3.84156014872,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,34b3d3f4067e7a1265851eceeeb6c93498aa85a9b40d7621023c0eecdc22291e,1,-38.7228147461,-35.8398965688,-39.9765825279,2.8829181773,-1.25376778181,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,8fffca57cb85e70ea405046f95495dd62ce1dc98893a8474640d84a757bc4204,0,-50.5294645373,-43.8672787525,-46.4998782613,6.66218578483,4.02958627598,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
